npm,nama_calas,kelas,nilai_teori,nilai_wawancara,nilai_praktek,nilai_presentasi
53412949,Johan,4IA06,21,11,56,34
53412950,Rizky,4IA07,22,12,57,35
53412951,Zulfikar,4IA08,23,13,58,36
53412952,Adhib Arfan,4IA09,24,14,59,37
53412953,Agustine T,4IA10,25,15,60,38
53412954,Maria DB,4IA11,26,16,61,39
53412955,Mongo DB,4IA12,27,17,62,40
53412956,Babel JS,4IA13,28,18,63,41
53412957,Sailsjs,4IA14,29,19,64,42
53412958,Nifta Maharani,4IA15,30,20,65,43
53412959,Nisa Kurina,4IA16,31,21,66,44
53412960,Kamelia Hasanah,4IA17,32,22,67,45
53412961,Birdy Ujani,4IA18,33,23,68,46
53412962,Asert,4IA19,34,24,69,47
